Timestamp,Username,Tue 8:00-9:50 AM,Tue 10:20 AM -12:10 PM,Tue 12:40-2:30 PM,Tue 3:00-4:50 PM,Tue 5:00-6:50 PM,Wed 8:00-9:50 AM,Wed 10:20 AM - 12:10 PM,Wed 12:40-2:30 PM,Wed 3:00-4:50 PM,Wed 5:00-6:50 PM,Thu 8:00-9:50 AM,Thu 10:20 AM - 12:10 PM,Thu 12:40-2:30 PM,Thu 3:00-4:50 PM,Thu 5:00-6:50 PM,Fri 8:00-9:50 AM,Fri 10:20 AM - 12:10 PM,Fri 12:40-2:30 PM,Fri 3:00-4:50 PM,Fri 5:00-6:50 PM
2018/12/20 4:36:05 PM EST,TA1,Conflict,Conflict,Conflict,Conflict,Available but not preferred,Conflict,Conflict,Preferred,Conflict,Available but not preferred,Conflict,Conflict,Conflict,Conflict,Conflict,Conflict,Conflict,Conflict,Conflict,Conflict
2018/12/20 4:45:55 PM EST,TA2,Available but not preferred,Preferred,Preferred,Preferred,Available but not preferred,Available but not preferred,Conflict,Available but not preferred,Conflict,Available but not preferred,Available but not preferred,Preferred,Preferred,Preferred,Available but not preferred,Conflict,Conflict,Available but not preferred,Available but not preferred,Conflict
2018/12/20 4:59:09 PM EST,TA3,Available but not preferred,Conflict,Conflict,Conflict,Conflict,Conflict,Conflict,Preferred,Preferred,Preferred,Conflict,Available but not preferred,Preferred,Preferred,Preferred,Available but not preferred,Conflict,Preferred,Preferred,Preferred
2018/12/20 5:07:28 PM EST,TA4,Available but not preferred,Preferred,Conflict,Available but not preferred,Available but not preferred,Available but not preferred,Conflict,Preferred,Available but not preferred,Available but not preferred,Available but not preferred,Preferred,Conflict,Available but not preferred,Available but not preferred,Available but not preferred,Conflict,Available but not preferred,Available but not preferred,Available but not preferred
2018/12/20 5:15:36 PM EST,TA5,Available but not preferred,Conflict,Conflict,Conflict,Preferred,Conflict,Conflict,Conflict,Available but not preferred,Available but not preferred,Available but not preferred,Conflict,Preferred,Conflict,Preferred,Available but not preferred,Available but not preferred,Available but not preferred,Available but not preferred,Available but not preferred
2018/12/20 5:22:06 PM EST,TA6,Preferred,Available but not preferred,Conflict,Preferred,Available but not preferred,Available but not preferred,Conflict,Conflict,Conflict,Conflict,Preferred,Conflict,Conflict,Conflict,Available but not preferred,Available but not preferred,Conflict,Conflict,Available but not preferred,Available but not preferred
2018/12/20 5:22:17 PM EST,TA7,Conflict,Conflict,Preferred,Preferred,Preferred,Conflict,Conflict,Conflict,Conflict,Conflict,Conflict,Conflict,Preferred,Preferred,Available but not preferred,Conflict,Conflict,Conflict,Conflict,Conflict
2018/12/20 6:55:04 PM EST,TA8,Available but not preferred,Preferred,Preferred,Conflict,Conflict,Available but not preferred,Preferred,Preferred,Conflict,Conflict,Available but not preferred,Preferred,Preferred,Conflict,Conflict,Available but not preferred,Preferred,Preferred,Available but not preferred,Available but not preferred
2018/12/21 1:54:38 PM EST,TA9,Conflict,Preferred,Conflict,Available but not preferred,Available but not preferred,Conflict,Conflict,Preferred,Conflict,Available but not preferred,Conflict,Preferred,Conflict,Available but not preferred,Available but not preferred,Available but not preferred,Preferred,Available but not preferred,Conflict,Available but not preferred
2018/12/21 10:46:33 PM EST,TA10,Available but not preferred,Available but not preferred,Conflict,Preferred,Preferred,Available but not preferred,Available but not preferred,Preferred,Preferred,Preferred,Available but not preferred,Available but not preferred,Conflict,Preferred,Preferred,Available but not preferred,Available but not preferred,Preferred,Conflict,Conflict
2018/12/22 7:00:42 PM EST,TA11,Available but not preferred,Conflict,Conflict,Conflict,Conflict,Conflict,Conflict,Conflict,Preferred,Preferred,Available but not preferred,Preferred,Conflict,Preferred,Available but not preferred,Available but not preferred,Conflict,Available but not preferred,Available but not preferred,Available but not preferred
2018/12/23 1:42:07 PM EST,TA12,Preferred,Available but not preferred,Conflict,Conflict,Available but not preferred,Available but not preferred,Available but not preferred,Conflict,Conflict,Available but not preferred,Preferred,Available but not preferred,Conflict,Conflict,Available but not preferred,Available but not preferred,Available but not preferred,Available but not preferred,Available but not preferred,Conflict
2018/12/23 6:13:39 PM EST,TA13,Preferred,Preferred,Conflict,Conflict,Available but not preferred,Preferred,Preferred,Conflict,Available but not preferred,Available but not preferred,Preferred,Preferred,Conflict,Conflict,Available but not preferred,Preferred,Preferred,Available but not preferred,Available but not preferred,Available but not preferred
2018/12/24 10:30:23 AM EST,TA14,Conflict,Preferred,Preferred,Available but not preferred,Available but not preferred,Conflict,Preferred,Preferred,Available but not preferred,Available but not preferred,Conflict,Preferred,Preferred,Conflict,Available but not preferred,Conflict,Preferred,Preferred,Available but not preferred,Conflict
2018/12/26 2:48:45 PM EST,TA15,Available but not preferred,Available but not preferred,Conflict,Conflict,Available but not preferred,Available but not preferred,Conflict,Preferred,Preferred,Preferred,Available but not preferred,Conflict,Conflict,Conflict,Available but not preferred,Available but not preferred,Available but not preferred,Available but not preferred,Available but not preferred,Available but not preferred
2018/12/26 8:19:24 PM EST,TA16,Conflict,Conflict,Conflict,Preferred,Available but not preferred,Conflict,Conflict,Available but not preferred,Available but not preferred,Available but not preferred,Conflict,Conflict,Conflict,Preferred,Available but not preferred,Conflict,Available but not preferred,Available but not preferred,Available but not preferred,Conflict
2018/12/27 3:23:42 PM EST,TA17,Available but not preferred,Conflict,Conflict,Preferred,Preferred,Conflict,Conflict,Conflict,Conflict,Preferred,Available but not preferred,Conflict,Conflict,Preferred,Preferred,Available but not preferred,Preferred,Preferred,Available but not preferred,Available but not preferred
2018/12/27 11:21:20 PM EST,TA18,Conflict,Conflict,Preferred,Preferred,Preferred,Conflict,Conflict,Conflict,Preferred,Available but not preferred,Conflict,Conflict,Preferred,Available but not preferred,Available but not preferred,Conflict,Available but not preferred,Available but not preferred,Available but not preferred,Available but not preferred
2018/12/29 2:17:56 PM EST,TA19,Preferred,Preferred,Preferred,Preferred,Preferred,Available but not preferred,Available but not preferred,Conflict,Conflict,Available but not preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Conflict
2019/01/01 12:12:29 PM EST,TA20,Preferred,Preferred,Preferred,Conflict,Conflict,Preferred,Conflict,Preferred,Conflict,Available but not preferred,Available but not preferred,Available but not preferred,Available but not preferred,Conflict,Conflict,Conflict,Conflict,Conflict,Conflict,Conflict
2019/01/03 12:43:08 PM EST,TA21,Conflict,Conflict,Preferred,Conflict,Available but not preferred,Conflict,Conflict,Conflict,Preferred,Conflict,Available but not preferred,Available but not preferred,Preferred,Conflict,Available but not preferred,Conflict,Conflict,Preferred,Available but not preferred,Available but not preferred
2019/01/03 2:42:50 PM EST,TA22,Available but not preferred,Conflict,Conflict,Available but not preferred,Conflict,Available but not preferred,Conflict,Preferred,Preferred,Conflict,Available but not preferred,Conflict,Conflict,Preferred,Conflict,Available but not preferred,Conflict,Conflict,Conflict,Conflict
2019/01/03 6:16:40 PM EST,TA23,Available but not preferred,Conflict,Preferred,Preferred,Available but not preferred,Conflict,Conflict,Conflict,Conflict,Conflict,Available but not preferred,Conflict,Preferred,Preferred,Available but not preferred,Conflict,Conflict,Conflict,Conflict,Conflict
2019/01/03 6:36:04 PM EST,TA24,Available but not preferred,Preferred,Preferred,Conflict,Conflict,Available but not preferred,Conflict,Conflict,Preferred,Available but not preferred,Available but not preferred,Conflict,Conflict,Conflict,Available but not preferred,Available but not preferred,Conflict,Conflict,Preferred,Available but not preferred
2019/01/04 1:30:21 PM EST,TA25,Available but not preferred,Conflict,Preferred,Conflict,Available but not preferred,Conflict,Preferred,Conflict,Preferred,Conflict,Available but not preferred,Conflict,Conflict,Conflict,Conflict,Conflict,Available but not preferred,Available but not preferred,Available but not preferred,Available but not preferred
